# High Lonesome 100 Lottery Entrants - Example Data
# Format: name,tickets
# Lines starting with # are ignored
Runner One,45
Runner Two,32
Runner Three,32
Runner Four,22
Runner Five,16
Runner Six,16
Runner Seven,16
Runner Eight,16
Runner Nine,16
Runner Ten,16
Runner Eleven,16
Runner Twelve,16
Runner Thirteen,12
Runner Fourteen,12
Runner Fifteen,12
Runner Sixteen,11
Runner Seventeen,11
Runner Eighteen,11
Runner Nineteen,11
Runner Twenty,11
Runner TwentyOne,10
Runner TwentyTwo,10
Runner TwentyThree,10
Runner TwentyFour,10
Runner TwentyFive,8
Runner TwentySix,8
Runner TwentySeven,8
Runner TwentyEight,8
Runner TwentyNine,8
Runner Thirty,8
Runner ThirtyOne,8
Runner ThirtyTwo,8
Runner ThirtyThree,8
Runner ThirtyFour,8
Runner ThirtyFive,8
Runner ThirtySix,8
Runner ThirtySeven,8
Runner ThirtyEight,8
Runner ThirtyNine,8
Runner Forty,8
Runner FortyOne,8
Runner FortyTwo,8
Runner FortyThree,8
Runner FortyFour,8
Runner FortyFive,8
Runner FortySix,8
Runner FortySeven,8
Runner FortyEight,8
Runner FortyNine,8
Runner Fifty,8
Runner FiftyOne,8
Runner FiftyTwo,8
Runner FiftyThree,8
Runner FiftyFour,8
Runner FiftyFive,8
Runner FiftySix,8
Runner FiftySeven,8
Runner FiftyEight,8
Runner FiftyNine,8
Runner Sixty,8
Runner SixtyOne,5
Runner SixtyTwo,5
Runner SixtyThree,5
Runner SixtyFour,5
Runner SixtyFive,5
Runner SixtySix,5
Runner SixtySeven,5
Runner SixtyEight,5
Runner SixtyNine,5
Runner Seventy,5
Runner SeventyOne,5
Runner SeventyTwo,5
Runner SeventyThree,5
Runner SeventyFour,4
Runner SeventyFive,4
Runner SeventySix,4
Runner SeventySeven,4
Runner SeventyEight,4
Runner SeventyNine,4
Runner Eighty,4
Runner EightyOne,4
Runner EightyTwo,4
Runner EightyThree,4
Runner EightyFour,4
Runner EightyFive,4
Runner EightySix,4
Runner EightySeven,4
Runner EightyEight,4
Runner EightyNine,4
Runner Ninety,4
Runner NinetyOne,4
Runner NinetyTwo,4
Runner NinetyThree,4
Runner NinetyFour,4
Runner NinetyFive,4
Runner NinetySix,4
Runner NinetySeven,4
Runner NinetyEight,4
Runner NinetyNine,4
Runner OneHundred,4
Runner OneHundredOne,4
Runner OneHundredTwo,4
Runner OneHundredThree,4
Runner OneHundredFour,4
Runner OneHundredFive,4
Runner OneHundredSix,4
Runner OneHundredSeven,4
Runner OneHundredEight,4
Runner OneHundredNine,4
Runner OneHundredTen,4
Runner OneHundredEleven,4
Runner OneHundredTwelve,4
Runner OneHundredThirteen,4
Runner OneHundredFourteen,4
Runner OneHundredFifteen,4
Runner OneHundredSixteen,4
Runner OneHundredSeventeen,4
Runner OneHundredEighteen,4
Runner OneHundredNineteen,4
Runner OneHundredTwenty,4
Runner OneHundredTwentyOne,4
Runner OneHundredTwentyTwo,4
Runner OneHundredTwentyThree,4
Runner OneHundredTwentyFour,4
Runner OneHundredTwentyFive,2
Runner OneHundredTwentySix,2
Runner OneHundredTwentySeven,2
Runner OneHundredTwentyEight,2
Runner OneHundredTwentyNine,2
Runner OneHundredThirty,2
Runner OneHundredThirtyOne,2
Runner OneHundredThirtyTwo,2
Runner OneHundredThirtyThree,2
Runner OneHundredThirtyFour,2
Runner OneHundredThirtyFive,2
Runner OneHundredThirtySix,2
Runner OneHundredThirtySeven,2
Runner OneHundredThirtyEight,2
Runner OneHundredThirtyNine,2
Runner OneHundredForty,2
Runner OneHundredFortyOne,2
Runner OneHundredFortyTwo,2
Runner OneHundredFortyThree,2
Runner OneHundredFortyFour,2
Runner OneHundredFortyFive,2
Runner OneHundredFortySix,2
Runner OneHundredFortySeven,2
Runner OneHundredFortyEight,2
Runner OneHundredFortyNine,2
Runner OneHundredFifty,2
Runner OneHundredFiftyOne,2
Runner OneHundredFiftyTwo,2
Runner OneHundredFiftyThree,2
Runner OneHundredFiftyFour,2
Runner OneHundredFiftyFive,2
Runner OneHundredFiftySix,2
Runner OneHundredFiftySeven,2
Runner OneHundredFiftyEight,2
Runner OneHundredFiftyNine,2
Runner OneHundredSixty,2
Runner OneHundredSixtyOne,2
Runner OneHundredSixtyTwo,2
Runner OneHundredSixtyThree,2
Runner OneHundredSixtyFour,2
Runner OneHundredSixtyFive,2
Runner OneHundredSixtySix,2
Runner OneHundredSixtySeven,2
Runner OneHundredSixtyEight,2
Runner OneHundredSixtyNine,2
Runner OneHundredSeventy,2
Runner OneHundredSeventyOne,2
Runner OneHundredSeventyTwo,2
Runner OneHundredSeventyThree,2
Runner OneHundredSeventyFour,2
Runner OneHundredSeventyFive,2
Runner OneHundredSeventySix,2
Runner OneHundredSeventySeven,2
Runner OneHundredSeventyEight,2
Runner OneHundredSeventyNine,2
Runner OneHundredEighty,2
Runner OneHundredEightyOne,2
Runner OneHundredEightyTwo,2
Runner OneHundredEightyThree,2
Runner OneHundredEightyFour,2
Runner OneHundredEightyFive,2
Runner OneHundredEightySix,2
Runner OneHundredEightySeven,2
Runner OneHundredEightyEight,2
Runner OneHundredEightyNine,2
Runner OneHundredNinety,2
Runner OneHundredNinetyOne,2
Runner OneHundredNinetyTwo,2
Runner OneHundredNinetyThree,2
Runner OneHundredNinetyFour,2
Runner OneHundredNinetyFive,2
Runner OneHundredNinetySix,2
Runner OneHundredNinetySeven,2
Runner OneHundredNinetyEight,2
Runner OneHundredNinetyNine,2
Runner TwoHundred,2
